"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"South Carolina : industrial","million dollars","ELEC.REV.SC-IND.A",1570,1472,1568,1669,1696,1723,1840,1774,1625,1677,1681,1643
"South Carolina : transportation","million dollars","ELEC.REV.SC-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"South Carolina : other","million dollars","ELEC.REV.SC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia","million dollars","ELEC.REV.VA-ALL.A",,,,,,,,,,,,
"Virginia : all sectors","million dollars","ELEC.REV.VA-ALL.A",8809,9689,9894,9748,9780,9897,10284,10425,10211,10234,11204,11271
"Virginia : residential","million dollars","ELEC.REV.VA-RES.A",4288,4748,5062,4871,4823,4925,5155,5221,5131,5079,5624,5632
"Virginia : commercial","million dollars","ELEC.REV.VA-COM.A",3433,3772,3676,3743,3778,3820,3893,3970,3909,4023,4347,4417
"Virginia : industrial","million dollars","ELEC.REV.VA-IND.A",1072,1153,1141,1118,1163,1136,1220,1219,1157,1118,1217,1206
"Virginia : transportation","million dollars","ELEC.REV.VA-TRA.A",15,16,15,15,16,16,17,16,14,14,16,16
"Virginia : other","million dollars","ELEC.REV.VA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia","million dollars","ELEC.REV.WV-ALL.A",,,,,,,,,,,,
"West Virginia : all sectors","million dollars","ELEC.REV.WV-ALL.A",1920,2013,2386,2460,2507,2485,2502,2621,2879,2855,2933,2823
"West Virginia : residential","million dollars","ELEC.REV.WV-RES.A",831,916,1094,1103,1103,1103,1120,1153,1302,1230,1306,1255
"West Virginia : commercial","million dollars","ELEC.REV.WV-COM.A",469,521,610,632,654,636,629,672,732,723,719,693
"West Virginia : industrial","million dollars","ELEC.REV.WV-IND.A",620,576,681,724,750,745,753,796,846,903,908,875
"West Virginia : transportation","million dollars","ELEC.REV.WV-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"West Virginia : other","million dollars","ELEC.REV.WV-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"East South Central","million dollars","ELEC.REV.ESC-ALL.A",,,,,,,,,,,,
"East South Central : all sectors","million dollars","ELEC.REV.ESC-ALL.A",26366,25434,27561,28197,27468,27737,28973,28387,28264,28236,29736,29364
"East South Central : residential","million dollars","ELEC.REV.ESC-RES.A",11178,11185,12451,12429,11814,12228,13100,12796,12888,12633,13862,13668
"East South Central : commercial","million dollars","ELEC.REV.ESC-COM.A",7700,7564,7993,8203,8124,8964,9284,9458,9542,9546,9983,9997
"East South Central : industrial","million dollars","ELEC.REV.ESC-IND.A",7488,6685,7116,7566,7530,6544,6589,6133,5835,6058,5891,5699
"East South Central : transportation","million dollars","ELEC.REV.ESC-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"East South Central : other","million dollars","ELEC.REV.ESC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama","million dollars","ELEC.REV.AL-ALL.A",,,,,,,,,,,,
"Alabama : all sectors","million dollars","ELEC.REV.AL-ALL.A",7709,7315,8075,8100,7910,7924,8386,8292,8436,8476,8694,8659
"Alabama : residential","million dollars","ELEC.REV.AL-RES.A",3348,3356,3791,3661,3491,3533,3782,3732,3843,3787,4028,4061
"Alabama : commercial","million dollars","ELEC.REV.AL-COM.A",2223,2204,2339,2331,2318,2377,2474,2539,2627,2638,2639,2658
"Alabama : industrial","million dollars","ELEC.REV.AL-IND.A",2138,1755,1945,2107,2101,2014,2131,2021,1966,2052,2028,1940
"Alabama : transportation","million dollars","ELEC.REV.AL-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Alabama : other","million dollars","ELEC.REV.AL-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky","million dollars","ELEC.REV.KY-ALL.A",,,,,,,,,,,,
"Kentucky : all sectors","million dollars","ELEC.REV.KY-ALL.A",5848,5796,6300,6418,6462,6515,6425,6189,6276,6227,6525,6484
"Kentucky : residential","million dollars","ELEC.REV.KY-RES.A",2190,2223,2497,2503,2461,2623,2785,2680,2763,2700,2936,2869
"Kentucky : commercial","million dollars","ELEC.REV.KY-COM.A",1433,1430,1530,1589,1637,1798,1808,1848,1912,1900,1946,1991
"Kentucky : industrial","million dollars","ELEC.REV.KY-IND.A",2224,2143,2274,2326,2365,2094,1833,1661,1600,1627,1643,1624
"Kentucky : transportation","million dollars","ELEC.REV.KY-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Kentucky : other","million dollars","ELEC.REV.KY-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi","million dollars","ELEC.REV.MS-ALL.A",,,,,,,,,,,,
"Mississippi : all sectors","million dollars","ELEC.REV.MS-ALL.A",4289,4074,4271,4331,4163,4445,4744,4643,4253,4348,4655,4543
"Mississippi : residential","million dollars","ELEC.REV.MS-RES.A",1902,1850,1992,1966,1847,1990,2141,2092,1932,1933,2147,2109
"Mississippi : commercial","million dollars","ELEC.REV.MS-COM.A",1325,1236,1286,1302,1267,1433,1525,1518,1390,1449,1516,1498
"Mississippi : industrial","million dollars","ELEC.REV.MS-IND.A",1062,988,993,1062,1049,1023,1077,1033,931,966,993,936
"Mississippi : transportation","million dollars","ELEC.REV.MS-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Mississippi : other","million dollars","ELEC.REV.MS-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Tennessee","million dollars","ELEC.REV.TN-ALL.A",,,,,,,,,,,,
"Tennessee : all sectors","million dollars","ELEC.REV.TN-ALL.A",8520,8249,8915,9348,8933,8853,9418,9263,9299,9185,9861,9678
"Tennessee : residential","million dollars","ELEC.REV.TN-RES.A",3739,3755,4172,4298,4016,4083,4392,4292,4350,4214,4752,4629
"Tennessee : commercial","million dollars","ELEC.REV.TN-COM.A",2718,2695,2839,2980,2902,3357,3477,3553,3612,3559,3882,3851
"Tennessee : industrial","million dollars","ELEC.REV.TN-IND.A",2063,1798,1904,2070,2015,1413,1549,1418,1337,1413,1228,1198
"Tennessee : transportation","million dollars","ELEC.REV.TN-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Tennessee : other","million dollars","ELEC.REV.TN-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"West South Central","million dollars","ELEC.REV.WSC-ALL.A",,,,,,,,,,,,
"West South Central : all sectors","million dollars","ELEC.REV.WSC-ALL.A",53565,46665,48034,48692,45104,48110,50925,49786,48980,49550,52340,53134
"West South Central : residential","million dollars","ELEC.REV.WSC-RES.A",23279,21875,22708,23019,21435,22813,23818,23870,22999,22828,25056,25587
"West South Central : commercial","million dollars","ELEC.REV.WSC-COM.A",16923,15370,15527,15767,15131,15617,16228,15880,16211,16221,16564,16257
"West South Central : industrial","million dollars","ELEC.REV.WSC-IND.A",13357,9413,9791,9899,8529,9673,10869,10025,9755,10485,10703,11277
"West South Central : transportation","million dollars","ELEC.REV.WSC-TRA.A",7,8,8,8,8,7,10,11,16,16,16,13
"West South Central : other","million dollars","ELEC.REV.WSC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Arkansas","million dollars","ELEC.REV.AR-ALL.A",,,,,,,,,,,,
"Arkansas : all sectors","million dollars","ELEC.REV.AR-ALL.A",3507,3267,3507,3562,3570,3704,3721,3804,3753,3805,3859,3952
"Arkansas : residential","million dollars","ELEC.REV.AR-RES.A",1613,1552,1703,1694,1665,1746,1753,1794,1765,1750,1889,1835
"Arkansas : commercial","million dollars","ELEC.REV.AR-COM.A",890,867,891,911,934,957,965,1011,1002,1014,951,1050
"Arkansas : industrial","million dollars","ELEC.REV.AR-IND.A",1004,847,913,957,971,1000,1002,999,986,1041,1019,1068
"Arkansas : transportation","million dollars","ELEC.REV.AR-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Arkansas : other","million dollars","ELEC.REV.AR-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Louisiana","million dollars","ELEC.REV.LA-ALL.A",,,,,,,,,,,,
"Louisiana : all sectors","million dollars","ELEC.REV.LA-ALL.A",7428,5550,6640,6632,5844,6896,7336,7011,6825,7105,7263,7179
"Louisiana : residential","million dollars","ELEC.REV.LA-RES.A",2967,2411,2935,2870,2514,2895,3005,2944,2862,2875,3074,3035
"Louisiana : commercial","million dollars","ELEC.REV.LA-COM.A",2322,1793,2058,2050,1880,2174,2229,2166,2139,2193,2185,2164
"Louisiana : industrial","million dollars","ELEC.REV.LA-IND.A",2139,1346,1646,1711,1449,1825,2100,1901,1822,2036,2003,1979
"Louisiana : transportation","million dollars","ELEC.REV.LA-TRA.A",1,1,1,1,1,1,1,1,1,1,1,1
"Louisiana : other","million dollars","ELEC.REV.LA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Oklahoma","million dollars","ELEC.REV.OK-ALL.A",,,,,,,,,,,,
"Oklahoma : all sectors","million dollars","ELEC.REV.OK-ALL.A",4394,3784,4390,4666,4472,4713,5036,4846,4814,4963,5224,5092
"Oklahoma : residential","million dollars","ELEC.REV.OK-RES.A",1987,1837,2164,2313,2168,2244,2343,2294,2324,2317,2484,2430
"Oklahoma : commercial","million dollars","ELEC.REV.OK-COM.A",1499,1261,1415,1490,1461,1541,1654,1588,1586,1662,1713,1603
"Oklahoma : industrial","million dollars","ELEC.REV.OK-IND.A",908,686,811,863,843,927,1039,964,905,984,1027,1059
"Oklahoma : transportation","million dollars","ELEC.REV.OK-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Oklahoma : other","million dollars","ELEC.REV.OK-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Texas","million dollars","ELEC.REV.TX-ALL.A",,,,,,,,,,,,
"Texas : all sectors","million dollars","ELEC.REV.TX-ALL.A",38236,34063,33497,33832,31218,32797,34832,34124,33588,33678,35994,36910
"Texas : residential","million dollars","ELEC.REV.TX-RES.A",16712,16074,15906,16142,15088,15926,16716,16838,16048,15886,17610,18287
"Texas : commercial","million dollars","ELEC.REV.TX-COM.A",12212,11448,11163,11315,10857,10945,11380,11115,11484,11352,11715,11440
"Texas : industrial","million dollars","ELEC.REV.TX-IND.A",9307,6534,6420,6368,5266,5920,6727,6161,6042,6424,6654,7171
"Texas : transportation","million dollars","ELEC.REV.TX-TRA.A",6,7,7,7,7,6,9,10,14,15,15,12
"Texas : other","million dollars","ELEC.REV.TX-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Mountain","million dollars","ELEC.REV.MTN-ALL.A",,,,,,,,,,,,
"Mountain : all sectors","million dollars","ELEC.REV.MTN-ALL.A",22072,22008,22647,23189,23935,25073,25669,26073,25698,26452,26866,26629
"Mountain : residential","million dollars","ELEC.REV.MTN-RES.A",9256,9512,9795,10012,10378,10902,10946,11264,11298,11717,11974,11866
"Mountain : commercial","million dollars","ELEC.REV.MTN-COM.A",7897,7878,8042,8275,8464,8844,9058,9212,9066,9333,9470,9373
"Mountain : industrial","million dollars","ELEC.REV.MTN-IND.A",4911,4611,4802,4892,5083,5313,5650,5583,5320,5388,5407,5372
"Mountain : transportation","million dollars","ELEC.REV.MTN-TRA.A",7,7,8,9,10,13,14,13,13,14,15,17
"Mountain : other","million dollars","ELEC.REV.MTN-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Arizona","million dollars","ELEC.REV.AZ-ALL.A",,,,,,,,,,,,
"Arizona : all sectors","million dollars","ELEC.REV.AZ-ALL.A",6951,7017,7059,7279,7361,7669,7764,7999,8082,8259,8501,8197
"Arizona : residential","million dollars","ELEC.REV.AZ-RES.A",3412,3524,3558,3666,3718,3878,3849,4023,4094,4259,4425,4317
"Arizona : commercial","million dollars","ELEC.REV.AZ-COM.A",2693,2748,2742,2803,2830,2958,2968,3043,3078,3115,3158,3014
"Arizona : industrial","million dollars","ELEC.REV.AZ-IND.A",846,745,759,810,813,833,948,933,909,884,916,865
"Arizona : transportation","million dollars","ELEC.REV.AZ-TRA.A",0,0,0,0,0,0,0,1,1,1,1,1
"Arizona : other","million dollars","ELEC.REV.AZ-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Colorado","million dollars","ELEC.REV.CO-ALL.A",,,,,,,,,,,,
"Colorado : all sectors","million dollars","ELEC.REV.CO-ALL.A",4480,4242,4840,5018,5042,5282,5369,5380,5386,5476,5655,5750
"Colorado : residential","million dollars","ELEC.REV.CO-RES.A",1794,1740,1998,2059,2088,2210,2204,2228,2274,2265,2343,2363
"Colorado : commercial","million dollars","ELEC.REV.CO-COM.A",1762,1631,1790,1878,1878,1982,2029,2017,1996,2041,2106,2203
"Colorado : industrial","million dollars","ELEC.REV.CO-IND.A",919,867,1048,1076,1071,1083,1129,1129,1110,1163,1199,1175
"Colorado : transportation","million dollars","ELEC.REV.CO-TRA.A",4,4,4,5,5,7,7,6,6,7,8,10
"Colorado : other","million dollars","ELEC.REV.CO-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho","million dollars","ELEC.REV.ID-ALL.A",,,,,,,,,,,,
"Idaho : all sectors","million dollars","ELEC.REV.ID-ALL.A",1361,1481,1492,1498,1642,1833,1841,1865,1865,1965,1941,1892
"Idaho : residential","million dollars","ELEC.REV.ID-RES.A",597,667,650,661,707,804,791,800,813,876,855,860
"Idaho : commercial","million dollars","ELEC.REV.ID-COM.A",346,389,389,383,410,460,476,489,487,513,511,494
"Idaho : industrial","million dollars","ELEC.REV.ID-IND.A",418,424,453,455,525,569,574,576,564,576,575,538
"Idaho : transportation","million dollars","ELEC.REV.ID-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Idaho : other","million dollars","ELEC.REV.ID-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Montana","million dollars","ELEC.REV.MT-ALL.A",,,,,,,,,,,,
"Montana : all sectors","million dollars","ELEC.REV.MT-ALL.A",1183,1087,1079,1135,1143,1205,1211,1264,1246,1312,1312,1382
"Montana : residential","million dollars","ELEC.REV.MT-RES.A",426,428,434,479,482,509,506,525,531,572,570,591
"Montana : commercial","million dollars","ELEC.REV.MT-COM.A",412,399,409,446,449,466,473,501,492,503,497,516
"Montana : industrial","million dollars","ELEC.REV.MT-IND.A",344,261,235,210,213,230,232,239,223,237,245,276
"Montana : transportation","million dollars","ELEC.REV.MT-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Montana : other","million dollars","ELEC.REV.MT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Nevada","million dollars","ELEC.REV.NV-ALL.A",,,,,,,,,,,,
"Nevada : all sectors","million dollars","ELEC.REV.NV-ALL.A",3480,3553,3286,3041,3148,3180,3411,3413,3031,3212,3277,3247
"Nevada : residential","million dollars","ELEC.REV.NV-RES.A",1439,1527,1436,1334,1434,1444,1541,1574,1448,1550,1593,1545
"Nevada : commercial","million dollars","ELEC.REV.NV-COM.A",937,953,878,814,822,839,892,889,788,886,939,939
"Nevada : industrial","million dollars","ELEC.REV.NV-IND.A",1103,1072,972,892,891,896,977,949,795,775,744,763
"Nevada : transportation","million dollars","ELEC.REV.NV-TRA.A",1,1,1,1,1,1,1,1,1,1,1,1
"Nevada : other","million dollars","ELEC.REV.NV-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico","million dollars","ELEC.REV.NM-ALL.A",,,,,,,,,,,,
"New Mexico : all sectors","million dollars","ELEC.REV.NM-ALL.A",1840,1752,1883,2015,2047,2132,2232,2223,2101,2208,2250,2236
"New Mexico : residential","million dollars","ELEC.REV.NM-RES.A",639,652,711,756,769,795,812,828,799,837,866,860
"New Mexico : commercial","million dollars","ELEC.REV.NM-COM.A",765,734,773,840,855,875,922,915,858,895,905,884
"New Mexico : industrial","million dollars","ELEC.REV.NM-IND.A",436,367,400,419,423,463,498,480,443,476,478,492
"New Mexico : transportation","million dollars","ELEC.REV.NM-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"New Mexico : other","million dollars","ELEC.REV.NM-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah","million dollars","ELEC.REV.UT-ALL.A",,,,,,,,,,,,
"Utah : all sectors","million dollars","ELEC.REV.UT-ALL.A",1830,1868,1948,2057,2331,2484,2510,2579,2632,2632,2565,2565
"Utah : residential","million dollars","ELEC.REV.UT-RES.A",725,740,769,802,912,975,954,992,1032,1042,1011,1013
"Utah : commercial","million dollars","ELEC.REV.UT-COM.A",686,712,741,775,870,916,943,1002,1012,1015,994,979
"Utah : industrial","million dollars","ELEC.REV.UT-IND.A",417,414,434,476,545,588,606,580,581,569,554,567
"Utah : transportation","million dollars","ELEC.REV.UT-TRA.A",3,3,3,3,4,6,6,6,6,6,5,5
"Utah : other","million dollars","ELEC.REV.UT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming","million dollars","ELEC.REV.WY-ALL.A",,,,,,,,,,,,
"Wyoming : all sectors","million dollars","ELEC.REV.WY-ALL.A",947,1007,1061,1146,1221,1288,1330,1349,1355,1389,1365,1358
"Wyoming : residential","million dollars","ELEC.REV.WY-RES.A",223,233,239,255,268,287,289,294,306,315,310,318
"Wyoming : commercial","million dollars","ELEC.REV.WY-COM.A",296,312,320,336,350,349,355,358,354,365,360,345
"Wyoming : industrial","million dollars","ELEC.REV.WY-IND.A",428,462,501,555,603,652,686,698,695,709,695,695
"Wyoming : transportation","million dollars","ELEC.REV.WY-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Wyoming : other","million dollars","ELEC.REV.WY-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Contiguous","million dollars","ELEC.REV.PCC-ALL.A",,,,,,,,,,,,
"Pacific Contiguous : all sectors","million dollars","ELEC.REV.PCC-ALL.A",42778,43871,43132,44342,45370,47981,50456,51088,50125,53023,53882,54053
"Pacific Contiguous : residential","million dollars","ELEC.REV.PCC-RES.A",17026,17779,17351,17924,18699,19524,19507,20234,20585,22240,22308,22432
"Pacific Contiguous : commercial","million dollars","ELEC.REV.PCC-COM.A",18897,19370,19162,19506,19885,20301,22380,22443,21477,22573,22954,23067
"Pacific Contiguous : industrial","million dollars","ELEC.REV.PCC-IND.A",6783,6650,6549,6842,6735,8082,8492,8332,7984,8135,8552,8474
"Pacific Contiguous : transportation","million dollars","ELEC.REV.PCC-TRA.A",72,72,70,70,52,74,77,78,79,75,68,80
"Pacific Contiguous : other","million dollars","ELEC.REV.PCC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"California","million dollars","ELEC.REV.CA-ALL.A",,,,,,,,,,,,
"California : all sectors","million dollars","ELEC.REV.CA-ALL.A",33497,34369,33637,34193,35123,37372,39780,40285,39116,41315,42318,42290
"California : residential","million dollars","ELEC.REV.CA-RES.A",12595,13239,12874,13061,13822,14481,14517,15188,15360,16501,16782,16764
"California : commercial","million dollars","ELEC.REV.CA-COM.A",15684,16075,15864,16018,16327,16598,18663,18627,17603,18552,18924,19052
"California : industrial","million dollars","ELEC.REV.CA-IND.A",5147,4985,4832,5046,4925,6222,6526,6394,6077,6190,6546,6406
"California : transportation","million dollars","ELEC.REV.CA-TRA.A",71,70,68,67,49,71,74,75,77,72,65,68
"California : other","million dollars","ELEC.REV.CA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon","million dollars","ELEC.REV.OR-ALL.A",,,,,,,,,,,,
"Oregon : all sectors","million dollars","ELEC.REV.OR-ALL.A",3562,3554,3478,3793,3835,4019,4110,4134,4182,4409,4364,4438
"Oregon : residential","million dollars","ELEC.REV.OR-RES.A",1691,1719,1672,1853,1849,1913,1949,1948,1981,2139,2079,2124
"Oregon : commercial","million dollars","ELEC.REV.OR-COM.A",1189,1198,1173,1284,1314,1396,1404,1410,1431,1468,1468,1453
"Oregon : industrial","million dollars","ELEC.REV.OR-IND.A",681,636,632,654,671,708,755,773,768,801,814,859
"Oregon : transportation","million dollars","ELEC.REV.OR-TRA.A",1,2,2,2,2,2,2,2,2,2,2,2
"Oregon : other","million dollars","ELEC.REV.OR-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Washington","million dollars","ELEC.REV.WA-ALL.A",,,,,,,,,,,,
"Washington : all sectors","million dollars","ELEC.REV.WA-ALL.A",5719,5948,6017,6356,6412,6589,6566,6669,6827,7299,7200,7325
"Washington : residential","million dollars","ELEC.REV.WA-RES.A",2741,2822,2806,3010,3028,3129,3041,3098,3245,3601,3446,3545
"Washington : commercial","million dollars","ELEC.REV.WA-COM.A",2024,2097,2125,2203,2244,2307,2314,2406,2443,2553,2562,2561
"Washington : industrial","million dollars","ELEC.REV.WA-IND.A",955,1029,1085,1142,1139,1152,1211,1165,1139,1144,1191,1209
"Washington : transportation","million dollars","ELEC.REV.WA-TRA.A",0,0,1,1,1,0,0,0,1,1,1,9
"Washington : other","million dollars","ELEC.REV.WA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Noncontiguous","million dollars","ELEC.REV.PCN-ALL.A",,,,,,,,,,,,
"Pacific Noncontiguous : all sectors","million dollars","ELEC.REV.PCN-ALL.A",3966,3094,3438,4163,4329,4194,4244,3572,3352,3610,3881,3891
"Pacific Noncontiguous : residential","million dollars","ELEC.REV.PCN-RES.A",1355,1102,1180,1392,1409,1346,1348,1187,1125,1214,1313,1327
"Pacific Noncontiguous : commercial","million dollars","ELEC.REV.PCN-COM.A",1430,1151,1264,1521,1559,1554,1568,1337,1246,1336,1398,1416
"Pacific Noncontiguous : industrial","million dollars","ELEC.REV.PCN-IND.A",1181,841,993,1250,1361,1294,1328,1048,981,1060,1169,1148
"Pacific Noncontiguous : transportation","million dollars","ELEC.REV.PCN-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Pacific Noncontiguous : other","million dollars","ELEC.REV.PCN-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska","million dollars","ELEC.REV.AK-ALL.A",,,,,,,,,,,,
"Alaska : all sectors","million dollars","ELEC.REV.AK-ALL.A",932,946,922,1016,1048,1033,1076,1083,1098,1181,1156,1176
"Alaska : residential","million dollars","ELEC.REV.AK-RES.A",353,363,340,376,386,381,391,405,407,438,433,442
"Alaska : commercial","million dollars","ELEC.REV.AK-COM.A",389,411,395,431,429,440,472,482,480,511,492,522
"Alaska : industrial","million dollars","ELEC.REV.AK-IND.A",191,172,187,209,232,212,213,196,211,232,231,212
"Alaska : transportation","million dollars","ELEC.REV.AK-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Alaska : other","million dollars","ELEC.REV.AK-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii","million dollars","ELEC.REV.HI-ALL.A",,,,,,,,,,,,
"Hawaii : all sectors","million dollars","ELEC.REV.HI-ALL.A",3034,2148,2516,3147,3281,3161,3167,2489,2254,2429,2725,2715
"Hawaii : residential","million dollars","ELEC.REV.HI-RES.A",1003,739,840,1016,1023,965,957,782,717,776,880,885
"Hawaii : commercial","million dollars","ELEC.REV.HI-COM.A",1040,741,870,1090,1130,1114,1095,855,767,825,907,894
"Hawaii : industrial","million dollars","ELEC.REV.HI-IND.A",991,668,806,1041,1129,1082,1115,852,770,828,938,936
"Hawaii : transportation","million dollars","ELEC.REV.HI-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Hawaii : other","million dollars","ELEC.REV.HI-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
